,City,Country region,Name,Service opened,Last expanded,Stations,Lines,System length,Annual ridership (millions)
121,Turin,Italy,Turin Metro,2006,2021,23,1,15.1,42.5
122,Fukuoka,Japan,Fukuoka City Subway,1981,2023,36,3,31.4,173.3
123,Hiroshima,Japan,Astram Line,1994,2015,22,1,18.4,24
124,Kobe,Japan,Kobe Municipal Subway,1977,2001,28,3,38.1,114.2
125,Kyoto,Japan,Kyoto Municipal Subway,1981,2008,31,2,31.2,146.4
126,Nagoya,Japan,Nagoya Municipal Subway,1957,2011,87,6,93.3,487.4
127,Osaka,Japan,Osaka Metro,1933,2006,100,8,129.9,870.4
128,Sapporo,Japan,Sapporo Municipal Subway,1971,1999,46,3,48,226.9
129,Sendai,Japan,Sendai Subway,1987,2015,29,2,28.7,91.7
130,Tokyo,Japan,Toei Subway,1960,2002,99,4,109,"1,174.9"
131,Tokyo,Japan,Tokyo Metro,1927,2020,142,9,195.1,"2,757.4"
132,Tokyo,Japan,Rinkai Line,1996,2002,8,1,12.2,95
133,Yokohama,Japan,Yokohama Municipal Subway,1972,2008,40,2,53.4,243.2
134,Yokohama,Japan,Minatomirai Line,2004,2008,6,1,4.1,80.6
135,Almaty,Kazakhstan,Almaty Metro,2011,2022,11,1,13.4,17.1
136,Pyongyang,North Korea,Pyongyang Metro,1973,1987,17,2,22.5,36
137,Busan,South Korea,Busan Metro,1985,2017,114,4,115.2,246.3
138,Daegu,South Korea,Daegu Metro,1997,2015,88,3,82.9,168
139,Daejeon,South Korea,Daejeon Metro,2006,2007,22,1,22.6,40
140,Gimhae,South Korea,Busan-Gimhae LRT,2011,2011,21,1,23.9,-
141,Gimpo,South Korea,Gimpo Goldline,2019,2019,10,1,23.67,-
142,Gwangju,South Korea,Gwangju Metro,2004,2008,20,1,20.1,19
143,Incheon,South Korea,Incheon Subway,1999,2020,56,2,59.7,199
144,Seoul,South Korea,Seoul Metropolitan Subway,1974,2022,337,11,357.46,"2,403"
145,Seoul,South Korea,Korail metro lines,1974,-,276,7,606.5,-
146,Seoul,South Korea,Shinbundang Line,2011,2022,16,1,33.4,122.5
147,Seoul,South Korea,AREX,2007,2018,14,1,63.8,-
148,Uijeongbu,South Korea,U Line,2012,2012,16,1,11.3,-
149,Yongin,South Korea,EverLine,2013,2013,15,1,18.143,-
150,Kuala Lumpur,Malaysia,Rapid KL,1996,2023,138,6,204.8,159.3
151,Guadalajara,Mexico,Guadalajara Electric Rail System,1994,2020,28,1,30,114.5
152,Mexico City,Mexico,Mexico City Metro,1969,2012,163,12,200.9,1057.5
153,Monterrey,Mexico,Metrorrey,1991,2021,38,3,40.2,109.9
154,Amsterdam,Netherlands,Amsterdam Metro,1977,2018,39,5,41.2,111.3
155,Rotterdam,Netherlands,Rotterdam Metro,1968,2023,71,5,102.3,99
156,Lagos,Nigeria,Lagos Rail Mass Transit,2023,–,5,1,13,0
157,Oslo,Norway,Oslo Metro,1966,2016,101,5,85,74
158,Lahore,Pakistan,Lahore Metro,2020,–,26,1,27.1,20
159,Panama City,Panama,Panama Metro,2014,2023,32,2,37.8,49.9
160,Lima,Peru,Lima Metro,2011,2023,31,2,39.4,110.4
161,Manila,Philippines,Manila Light Rail Transit System,1984,2021,33,2,37.2,218.2
162,Manila,Philippines,Manila Metro Rail Transit System,1999,2000,13,1,16.9,96.9
163,Warsaw,Poland,Warsaw Metro,1995,2022,39,2,41.2,195.4
164,Lisbon,Portugal,Lisbon Metro,1959,2016,50,4,44.2,184.6
165,Doha,Qatar,Doha Metro,2019,2019,37,3,76,0
166,Bucharest,Romania,Bucharest Metro,1979,2023,64,5,80.1,179.2
167,Kazan,Russia,Kazan Metro,2005,2018,11,1,16.8,30.5
168,Moscow,Russia,Moscow Metro,1935,2023,229,15,514.5,"2,061.8"
169,Nizhny Novgorod,Russia,Nizhny Novgorod Metro,1985,2018,15,2,21.4,29.9
170,Novosibirsk,Russia,Novosibirsk Metro,1986,2010,14,2,15.9,77.3
171,Saint Petersburg,Russia,Saint Petersburg Metro,1955,2019,72,5,124.8,649
172,Samara,Russia,Samara Metro,1987,2015,10,1,11.6,11.2
173,Yekaterinburg,Russia,Yekaterinburg Metro,1991,2012,9,1,12.7,38.9
174,Singapore,Singapore,Singapore Mass Rapid Transit,1987,2022,134,6,230,"1,001.9"
175,Barcelona,Spain,Barcelona Metro,1924,2021,132,12,128.3,371.7
176,Bilbao,Spain,Metro Bilbao,1995,2020,42,3,45.1,80.3
177,Madrid,Spain,Madrid Metro,1919,2019,242,13,293.9,571.7
178,Stockholm,Sweden,Stockholm Metro,1950,1994,100,7,108,462
179,Lausanne,Switzerland,Lausanne Métro,2008,–,14,1,5.9,32.8
180,Kaohsiung,Taiwan,Kaohsiung Rapid Transit,2008,2012,37,2,42.7,65.4
181,New Taipei City,Taiwan,New Taipei Mass Rapid Transit,2020,-,14,1,15.4,0
182,Taipei,Taiwan,Taipei Mass Rapid Transit,1996,2020,119,5,152.9,695.7
183,Taichung,Taiwan,Taichung Mass Rail Transit,2021,–,18,1,16.7,0
184,Taoyuan,Taiwan,Taoyuan Mass Rapid Transit,2017,2023,22,1,53.1,28
185,Bangkok,Thailand,BTS Skytrain,1999,2021,64,3,70.05,266.5
186,Bangkok,Thailand,Metropolitan Rapid Transit,2004,2023,107,4,135.9,167.3
187,Adana,Turkey,Adana Metro,2009,2010,13,1,13.5,14
188,Ankara,Turkey,Ankara Metro,1997,2023,57,3,67.4,67.4
189,Bursa,Turkey,Bursaray,2002,2014,39,2,39,91.3
190,Istanbul,Turkey,Istanbul Metro,1989,2023,128,11,199.26,542
191,İzmir,Turkey,İzmir Metro,2000,2014,17,1,19.8,100
192,Dnipro,Ukraine,Dnipro Metro,1995,–,6,1,7.8,7.5
193,Kharkiv,Ukraine,Kharkiv Metro,1975,2016,30,3,38.7,231.1
194,Kyiv,Ukraine,Kyiv Metro,1960,2013,52,3,67.7,496.1
195,Dubai,United Arab Emirates,Dubai Metro,2009,2021,53,2,89.3,113.6
196,Glasgow,United Kingdom,Glasgow Subway,1896,–,15,1,10.4,11.9
