City,"Country region",Name,"Service opened","Last expanded",Stations,Lines,System length,"Annual ridership (millions)"
Yongin,South Korea,EverLine,2013,2013,15,1,18.143 km (11.274 mi),0
Kuala Lumpur,Malaysia,Rapid KL[Nb 58],1996,2023[298],138[Nb 59],6,204.8 km (127.3 mi),159.3 (2022)[R 63]
Guadalajara,Mexico,Guadalajara Electric Rail System[Nb 60],1994[Nb 61],2020,28,1,30 km (19 mi),114.5 (2021)[R 64]
Mexico City,Mexico,Mexico City Metro,1969[299],2012[Nb 62],163[Nb 63],12,200.9 km (124.8 mi)[300][Nb 64],1057.5 (2022)[R 65]
Monterrey,Mexico,Metrorrey,1991[301],2021[302],38[303],3,40.2 km (25.0 mi)[303],109.9 (2020)[R 66]
Amsterdam,Netherlands,Amsterdam Metro,1977,2018[304],39[305],5,41.2 km (25.6 mi),111.3 (2019)[R 67][R Nb 17]
Rotterdam,Netherlands,Rotterdam Metro[Nb 65],1968,2023,71,5,102.3 km (63.6 mi)[306],99 (2019)[R 68]
Lagos,Nigeria,Lagos Rail Mass Transit,2023,2023,5[307],1,13 km (8.1 mi),0 (2023)
Oslo,Norway,Oslo Metro[Nb 66],1966[Nb 67],2016[Nb 68],101,5,85 km (53 mi)[308],74 (2020)[R 69]
Lahore,Pakistan,Lahore Metro,2020[309],2020,26,1,27.1 km (16.8 mi)[309],20 (2020-2021)[R 70]
Panama City,Panama,Panama Metro,2014,2023[310],32,2,37.8 km (23.5 mi),49.9 (2020)[R 71]
Lima,Peru,Lima Metro,2011,2023,31,2,39.4 km (24.5 mi)[311],110.4 (2018)[R 72]
Manila,Philippines,Manila Light Rail Transit System,1984[312],2021[312],33[313],2,37.2 km (23.1 mi)[312][314],218.2 (2019)[R 73][R Nb 18]
Manila,Philippines,Manila Metro Rail Transit System,1999,2000,13,1,16.9 km (10.5 mi)[315],96.9 (2019)[R 74]
Warsaw,Poland,Warsaw Metro,1995,2022[316],39,2,41.2 km (25.6 mi),195.4 (2019)[R 75]
Lisbon,Portugal,Lisbon Metro,1959[317],2016[317],50[317],4,44.2 km (27.5 mi)[317],184.6 (2019)[R 76]
Doha,Qatar,Doha Metro,2019[318],2019[319],37[319],3,76 km (47 mi)[Nb 69],0 (2023)
Bucharest,Romania,Bucharest Metro,1979[320],2023[321],64[322],5,80.1 km (49.8 mi)[322],179.2 (2019)[R 77]
Kazan,Russia,Kazan Metro[323],2005,2018[324],11[325],1,16.8 km (10.4 mi)[325],30.5 (2022)[R 3]
Moscow,Russia,Moscow Metro[326],1935,2023,229[Nb 70][327],15,514.5 km (319.7 mi)[327],"2,061.8 (2022)[R 3]"
Nizhny Novgorod,Russia,Nizhny Novgorod Metro,1985,2018[328],15[328],2,21.4 km (13.3 mi),29.9 (2022)[R 3]
Novosibirsk,Russia,Novosibirsk Metro,1986,2010[329],14[325],2,15.9 km (9.9 mi)[325],77.3 (2022)[R 3]
Saint Petersburg,Russia,Saint Petersburg Metro,1955,2019[330],72[Nb 71][331],5,124.8 km (77.5 mi)[331],649 (2022)[R 3]
Samara,Russia,Samara Metro,1987[332],2015[333],10[325],1,11.6 km (7.2 mi)[325],11.2 (2022)[R 3]
Yekaterinburg,Russia,Yekaterinburg Metro,1991,2012[334],9[325],1,12.7 km (7.9 mi)[325],38.9 (2022)[R 3]
Singapore,Singapore,Singapore Mass Rapid Transit,1987,2022[335],134[335],6,230 km (140 mi),"1,001.9 (2022)[R 78][R Nb 19]"
Barcelona,Spain,Barcelona Metro[Nb 72],1924,2021[336],132[Nb 73][337],12,128.3 km (79.7 mi)[337],371.7 (2022)[R 79]
Bilbao,Spain,Metro Bilbao[Nb 74],1995[338],2020[339][340],42[341][340],3,45.1 km (28.0 mi)[341],80.3 (2022)[R 80]
Madrid,Spain,Madrid Metro[Nb 75],1919[342],2019[343],242[344],13,293.9 km (182.6 mi)[344],571.7 (2022)[R 81]
Stockholm,Sweden,Stockholm Metro,1950[345][Nb 76],1994[345],100[346],7,108 km (67 mi)[346],462 (2019)[R 82][R Nb 20]
Lausanne,Switzerland,Lausanne Métro[Nb 77],2008[347],2008,14,1,5.9 km (3.7 mi),32.8 (2019)[R 83][R Nb 21]
Kaohsiung,Taiwan,Kaohsiung Rapid Transit,2008,2012,37[348],2,42.7 km (26.5 mi)[348],65.4 (2019)[R 84]
